matchNumber,matchLevel,blue_totalPoints,blue_foulPoints,blue_adjustPoints,blue_totalAutoPoints,blue_totalTeleopPoints,blue_endGameTowerPoints,blue_totalTowerPoints,blue_autoTowerPoints,blue_autoTowerRobot1,blue_autoTowerRobot2,blue_autoTowerRobot3,blue_endGameTowerRobot1,blue_endGameTowerRobot2,blue_endGameTowerRobot3,blue_energizedAchieved,blue_superchargedAchieved,blue_traversalAchieved,blue_minorFoulCount,blue_majorFoulCount,blue_g206Penalty,blue_rp,blue_penalties,blue_hub_autoCount,blue_hub_transitionCount,blue_hub_shift1Count,blue_hub_shift2Count,blue_hub_shift3Count,blue_hub_shift4Count,blue_hub_endgameCount,blue_hub_teleopCount,blue_hub_totalCount,blue_hub_uncounted,blue_hub_autoPoints,blue_hub_transitionPoints,blue_hub_shift1Points,blue_hub_shift2Points,blue_hub_shift3Points,blue_hub_shift4Points,blue_hub_endgamePoints,blue_hub_teleopPoints,blue_hub_totalPoints,red_totalPoints,red_foulPoints,red_adjustPoints,red_totalAutoPoints,red_totalTeleopPoints,red_endGameTowerPoints,red_totalTowerPoints,red_autoTowerPoints,red_autoTowerRobot1,red_autoTowerRobot2,red_autoTowerRobot3,red_endGameTowerRobot1,red_endGameTowerRobot2,red_endGameTowerRobot3,red_energizedAchieved,red_superchargedAchieved,red_traversalAchieved,red_minorFoulCount,red_majorFoulCount,red_g206Penalty,red_rp,red_penalties,red_hub_autoCount,red_hub_transitionCount,red_hub_shift1Count,red_hub_shift2Count,red_hub_shift3Count,red_hub_shift4Count,red_hub_endgameCount,red_hub_teleopCount,red_hub_totalCount,red_hub_uncounted,red_hub_autoPoints,red_hub_transitionPoints,red_hub_shift1Points,red_hub_shift2Points,red_hub_shift3Points,red_hub_shift4Points,red_hub_endgamePoints,red_hub_teleopPoints,red_hub_totalPoints
24,Qualification,413,0,0,75,338,0,0,0,None,None,None,None,None,None,True,False,False,0,1,False,4,None,75,0,164,0,90,0,84,338,413,10,75,0,164,0,90,0,84,338,413,299,15,0,107,177,0,0,0,None,None,None,None,None,None,False,False,False,0,0,False,0,None,107,17,0,41,0,52,67,177,284,1,107,17,0,41,0,52,67,177,284
25,Qualification,576,10,0,76,490,0,0,0,None,None,None,None,None,None,True,True,False,1,0,False,5,None,76,44,133,0,172,0,141,490,566,0,76,44,133,0,172,0,141,490,566,405,5,0,103,297,0,0,0,None,None,None,None,None,None,True,False,False,2,0,False,1,None,103,30,0,124,0,81,62,297,400,15,103,30,0,124,0,81,62,297,400
26,Qualification,279,0,0,54,225,0,0,0,None,None,None,None,None,None,False,False,False,0,0,False,0,None,54,0,69,0,69,0,87,225,279,1,54,0,69,0,69,0,87,225,279,351,0,0,65,286,0,0,0,None,None,None,None,None,None,False,False,False,0,0,False,3,None,65,28,0,100,0,77,81,286,351,1,65,28,0,100,0,77,81,286,351
27,Qualification,158,0,0,45,113,0,0,0,None,None,None,None,None,None,False,False,False,1,1,False,0,None,45,0,27,0,29,0,57,113,158,5,45,0,27,0,29,0,57,113,158,380,20,0,54,306,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,54,40,0,138,0,89,39,306,360,0,54,40,0,138,0,89,39,306,360
28,Qualification,387,0,0,130,257,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,1,None,130,39,0,136,0,44,38,257,387,8,130,39,0,136,0,44,38,257,387,406,0,0,72,334,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,72,0,86,0,131,0,117,334,406,0,72,0,86,0,131,0,117,334,406
29,Qualification,496,0,0,91,405,0,0,0,None,None,None,None,None,None,True,False,False,0,4,False,1,None,91,4,0,102,0,153,146,405,496,51,91,4,0,102,0,153,146,405,496,531,60,0,56,415,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,56,4,137,0,121,0,153,415,471,4,56,4,137,0,121,0,153,415,471
30,Qualification,447,15,0,151,281,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,151,0,0,102,0,83,96,281,432,0,151,0,0,102,0,83,96,281,432,429,0,0,103,326,10,10,0,None,None,None,None,None,Level1,True,False,False,0,1,False,1,None,103,2,143,0,106,0,65,316,419,1,103,2,143,0,106,0,65,316,419
31,Qualification,344,0,0,63,281,0,0,0,None,None,None,None,None,None,False,False,False,1,0,False,3,None,63,21,0,106,0,73,81,281,344,4,63,21,0,106,0,73,81,281,344,211,5,0,54,152,0,0,0,None,None,None,None,None,None,False,False,False,0,0,False,0,None,54,1,68,0,69,0,14,152,206,0,54,1,68,0,69,0,14,152,206
32,Qualification,470,0,0,95,375,10,10,0,None,None,None,None,Level1,None,True,False,False,0,0,False,4,None,95,44,0,128,0,108,85,365,460,17,95,44,0,128,0,108,85,365,460,392,0,0,74,318,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,1,None,74,4,62,0,86,0,166,318,392,0,74,4,62,0,86,0,166,318,392
33,Qualification,247,0,0,29,218,0,0,0,None,None,None,None,None,None,False,False,False,1,0,False,0,None,29,1,52,0,69,0,96,218,247,21,29,1,52,0,69,0,96,218,247,573,5,0,112,456,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,112,36,0,156,0,85,179,456,568,3,112,36,0,156,0,85,179,456,568
34,Qualification,602,5,0,71,526,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,71,18,132,0,184,0,192,526,597,11,71,18,132,0,184,0,192,526,597,582,0,0,128,454,0,0,0,None,None,None,None,None,None,True,True,False,1,0,False,2,None,128,63,0,133,0,120,138,454,582,2,128,63,0,133,0,120,138,454,582
35,Qualification,578,10,0,102,466,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,102,20,0,231,0,96,119,466,568,8,102,20,0,231,0,96,119,466,568,421,0,0,94,327,0,0,0,None,None,None,None,None,None,True,False,False,2,0,False,1,None,94,0,91,0,125,0,111,327,421,0,94,0,91,0,125,0,111,327,421
36,Qualification,516,20,0,20,476,0,0,0,None,None,None,None,None,None,True,False,False,1,0,False,4,None,20,10,157,0,142,0,167,476,496,0,20,10,157,0,142,0,167,476,496,353,5,0,43,305,0,0,0,None,None,None,None,None,None,False,False,False,1,1,False,0,None,43,22,0,120,0,70,93,305,348,9,43,22,0,120,0,70,93,305,348
37,Qualification,442,5,0,117,320,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,1,None,117,49,0,78,0,103,90,320,437,5,117,49,0,78,0,103,90,320,437,473,0,0,91,382,0,0,0,None,None,None,None,None,None,True,False,False,1,0,False,4,None,91,15,134,0,117,0,116,382,473,7,91,15,134,0,117,0,116,382,473
38,Qualification,376,0,0,90,286,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,90,1,0,105,0,103,77,286,376,1,90,1,0,105,0,103,77,286,376,345,0,0,60,285,0,0,0,None,None,None,None,None,None,False,False,False,0,0,False,0,None,60,0,76,0,82,0,127,285,345,4,60,0,76,0,82,0,127,285,345
39,Qualification,756,0,0,131,625,0,0,0,None,None,None,None,None,None,True,True,False,1,0,False,5,None,131,37,0,221,0,187,180,625,756,25,131,37,0,221,0,187,180,625,756,396,5,0,21,370,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,1,None,21,31,87,0,137,0,115,370,391,0,21,31,87,0,137,0,115,370,391
40,Qualification,306,30,0,36,240,0,0,0,None,None,None,None,None,None,False,False,False,0,0,False,0,None,36,2,85,0,78,0,75,240,276,0,36,2,85,0,78,0,75,240,276,650,0,0,126,524,0,0,0,None,None,None,None,None,None,True,True,False,0,2,False,5,None,126,45,0,175,0,194,110,524,650,0,126,45,0,175,0,194,110,524,650
41,Qualification,444,0,0,84,360,0,0,0,None,None,None,None,None,None,True,False,False,0,1,False,1,None,84,23,0,123,0,98,116,360,444,11,84,23,0,123,0,98,116,360,444,562,15,0,54,493,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,54,2,121,0,189,0,181,493,547,0,54,2,121,0,189,0,181,493,547
42,Qualification,355,30,0,56,269,0,0,0,None,None,None,None,None,None,False,False,False,0,0,False,3,None,56,30,0,85,0,58,96,269,325,1,56,30,0,85,0,58,96,269,325,333,0,0,32,301,0,0,0,None,None,None,None,None,None,False,False,False,0,2,False,0,None,32,2,77,0,97,0,125,301,333,0,32,2,77,0,97,0,125,301,333
43,Qualification,419,10,0,91,318,0,0,0,None,None,None,None,None,None,True,False,False,1,0,False,4,None,91,6,0,92,0,134,86,318,409,0,91,6,0,92,0,134,86,318,409,416,5,0,30,381,0,0,0,None,None,None,None,None,None,True,False,False,2,0,False,1,None,30,1,104,0,140,0,136,381,411,0,30,1,104,0,140,0,136,381,411
